name,aperture,DockingX,DockingY,DockingZ,DockNormalX,DockNormalY,DockNormalZ
,,,,,,,
MLH05_M,12.7,2.75,0,10,0,0,1
,,,,,,,
LMR1_M,25.4,1.75,0,22.1,0,0,1
,,,,,,,
LMR1.5_M,38.1,1,0,28.6,0,0,1
,,,,,,,
LMR2_M,50.8,2.27,0,34.4,0,0,1
