name,aperture,height,price,offsetX,offsetY,offsetZ,xshift,rot_angleZ,rot_angleY,rot_angleX
,,,,,,,,,,
MLH05_M,12.7,10,28.56,-18,7,-12,2.75,90,0,90
,,,,,,,,,,
LMR1_M,25.4,22.1,14.97,0,9.5,-8,1.75,90,0,90
,,,,,,,,,,
LMR1.5_M,38.1,28.6,25.41,7.5,-5,-28.5,1,90,0,90
,,,,,,,,,,
LMR2_M,50.8,34.4,26.73,-12.27,31.25,32.6,2.27,90,0,90
