name,aperture,DockingX,DockingY,DockingZ,DockNormalX,DockNormalY,DockNormalZ,color,depth
,,,,,,,,
KS4,101.6,27.0,0,-72.4,0,0,1,"0.2,0.2,0.2",12.2
,,,,,,,,
POLARIS-K05,12.7,12.5,0,-12.7,0,0,1,"0.75,0.75,0.75",4.5
,,,,,,,,
KM05_M,12.7,12.3,0,-14.7,0,0,1,"0.2,0.2,0.2",5,0
,,,,,,,,
KM05CP_M,12.7,0.3,0,-21.1,0,0,1,"0.2,0.2,0.2",5.6
,,,,,,,,
POLARIS-K1,25.4,16,0,-25.4,0,0,1,"0.75,0.75,0.75",5.5
,,,,,,,,
KM100CP_M,25.4,0.3,0,-31.7,0,0,1,"0.2,0.2,0.2",5.5
,,,,,,,,
KS1,25.4,16.0,0,-25.5,0,0,1,"0.2,0.2,0.2",6.2
,,,,,,,,
POLARIS-K15S4,38.1,15.3,0,-31.8,0,0,1,"0.75,0.75,0.75",5
,,,,,,,,
POLARIS-K15VS2,38.1,15.3,0,-31.8,0,0,1,"0.75,0.75,0.75",5
,,,,,,,,
POLARIS-K2,50.8,21.3,0,-35.6,0,0,1,"0.75,0.75,0.75",11.0
,,,,,,,,
KS2,50.8,19.9,0,-39.0,0,0,1,"0.2,0.2,0.2",8.2
,,,,,,,,
KM200CP_M,50.8,0.3,0,-47,0,0,1,"0.2,0.2,0.2",8.4
,,,,,,,,
POLARIS-K3S5,76.2,21.8,0,-50.8,0,0,1,"0.75,0.75,0.75",4.9
,,,,,,,,
KS3,76.2,26.25,0,-54.1,0,0,1,"0.2,0.2,0.2",11.7
,,,,,,,,
MH25_KMSS,25.4,19.36,0,-15.88,0,0,1,"0.2,0.2,0.2",5.0
,,,,,,,,
6inch_mirror_mount,152.4,48.95,0,-70,0,0,1,"0.2,0.2,0.2",6.5
,,,,,,,,
POLARIS-K1E3,25.4,17.1,0,-25.4,0,0,1,"0.75,0.75,0.75",6.4
,,,,,,,,
Newport-9771-M,25.4,18.75,0,-16,0,0,1,"0.2,0.2,0.2",6.5
,,,,,,,,
U100-A2K,25.4,21.082,0,-25.4,0,0,1,"0.2,0.2,0.2",5.6
,,,,,,,,
U100-A2K_LH,25.4,21.082,0,-25.4,0,0,1,"0.2,0.2,0.2",5.6
,,,,,,,,
U200-A2K,50.8,25.4,0,-35.052,0,0,1,"0.2,0.2,0.2",12.5
,,,,,,,,
U200-A2K_LH,50.8,25.4,0,-35.052,0,0,1,"0.2,0.2,0.2",12.5
,,,,,,,,
U300-A2K,76.2,25,0,-48,0,0,1,"0.2,0.2,0.2",12.5
,,,,,,,,
U300-A2K_LH,76.2,25,0,-48,0,0,1,"0.2,0.2,0.2",12.5
,,,,,,,,
U400-AC2K,101.6,35,0,-63.4,0,0,1,"0.2,0.2,0.2",24
,,,,,,,,
Optosigma_MHGT-50_8,50.8,20,0,-35.5,0,0,1,"0.2,0.2,0.2",10
,,,,,,,,
Newport-9771-M,25.4,18.7,0,-16,0,0,1,"0.2,0.2,0.2",5
